,Belfast Centre,,,,,,,,,
Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status
11/04/1995,47,V µg/m³,16,V µg/m³,38,V µg/m³,31,V µg/m³,0.2,V mg/m³
12/04/1995,40,V µg/m³,30,V µg/m³,56,V µg/m³,68,V µg/m³,0.6,V mg/m³
13/04/1995,13,V µg/m³,81,V µg/m³,88,V µg/m³,115,V µg/m³,1.4,V mg/m³
14/04/1995,47,V µg/m³,27,V µg/m³,53,V µg/m³,41,V µg/m³,0.6,V mg/m³
15/04/1995,75,V µg/m³,5,V µg/m³,18,V µg/m³,10,V µg/m³,0.1,V mg/m³
16/04/1995,77,V µg/m³,4,V µg/m³,10,V µg/m³,9,V µg/m³,0.1,V mg/m³
17/04/1995,78,V µg/m³,3,V µg/m³,17,V µg/m³,14,V µg/m³,0.3,V mg/m³
18/04/1995,56,V µg/m³,5,V µg/m³,20,V µg/m³,16,V µg/m³,0.2,V mg/m³
19/04/1995,54,V µg/m³,8,V µg/m³,24,V µg/m³,20,V µg/m³,0.3,V mg/m³
20/04/1995,56,V µg/m³,9,V µg/m³,31,V µg/m³,23,V µg/m³,0.3,V mg/m³
21/04/1995,34,V µg/m³,27,V µg/m³,46,V µg/m³,39,V µg/m³,0.5,V mg/m³
22/04/1995,55,V µg/m³,9,V µg/m³,35,V µg/m³,40,V µg/m³,0.2,V mg/m³
23/04/1995,61,V µg/m³,4,V µg/m³,30,V µg/m³,24,V µg/m³,0.3,V mg/m³
24/04/1995,48,V µg/m³,14,V µg/m³,51,V µg/m³,52,V µg/m³,0.5,V mg/m³
25/04/1995,52,V µg/m³,12,V µg/m³,52,V µg/m³,81,V µg/m³,0.5,V mg/m³
26/04/1995,54,V µg/m³,11,V µg/m³,42,V µg/m³,47,V µg/m³,0.3,V mg/m³
27/04/1995,56,V µg/m³,9,V µg/m³,37,V µg/m³,23,V µg/m³,0.2,V mg/m³
